OBJECTID,DUMMY_DATA
3,1
4,0
5,0
6,1
7,0
8,0
9,1
10,1
11,0
12,1
13,1
14,1
15,0
16,0
17,0
18,0
19,1
20,1
21,1
22,0
23,1
24,0
25,0
26,1
27,1
28,1
29,1
30,0
31,0
32,0
33,1
34,1
35,0
36,0
37,0
38,0
39,0
40,1
41,1
42,1
43,1
44,0
45,1
46,1
47,1
48,1
49,0
50,0
51,1
52,1
53,1
54,1
55,1
56,1
57,0
58,1
59,0
60,0
61,1
62,0
63,0
64,1
65,0
66,0
67,1
68,0
69,0
70,1
71,0
72,1
73,1
74,0
75,0
76,1
77,1
78,0
79,0
80,0
81,0
82,0
83,1
84,0
85,1
86,1
87,0
88,0
89,1
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,1
100,1
101,0
102,1
103,0
104,1
105,0
106,1
107,1
108,0
110,0
111,0
112,1
113,0
114,0
115,1
116,0
117,1
118,1
119,1
120,0
121,1
122,1
123,1
124,0
125,0
126,0
127,0
128,0
129,1
130,1
131,1
132,1
133,0
134,0
135,1
136,0
137,1
138,0
139,1
140,1
141,1
142,1
143,0
144,1
145,1
146,1
147,1
148,1
149,0
150,1
151,0
152,1
153,1
154,0
155,1
156,0
157,0
158,0
159,0
160,1
161,0
162,0
163,0
164,1
165,1
166,1
167,0
168,1
169,1
170,0
171,1
172,0
173,1
174,0
175,1
176,0
177,1
178,1
179,0
180,1
181,1
182,0
183,0
184,1
185,1
186,0
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,0
195,0
196,0
197,1
198,0
199,0
200,1
201,0
202,0
203,0
204,1
205,1
206,1
207,1
208,0
209,1
210,1
211,0
212,1
213,0
214,0
215,1
216,0
217,0
218,0
219,1
220,1
221,0
222,1
223,0
224,1
225,0
226,1
227,1
228,0
229,1
230,1
231,0
232,0
233,1
234,1
235,1
236,1
237,1
238,1
239,0
240,0
241,1
242,1
243,0
244,0
245,1
246,1
247,1
248,0
249,0
250,0
251,1
252,0
253,0
254,1
255,1
256,1
257,0
258,1
259,0
260,1
261,0
262,0
263,0
264,0
265,1
266,0
267,0
268,1
269,1
270,0
271,0
272,0
273,1
274,0
275,1
276,0
277,0
278,1
279,0
280,0
281,1
282,1
283,0
284,0
285,0
286,1
287,1
288,0
289,1
290,0
291,0
292,0
293,1
294,0
295,0
296,0
297,0
298,1
299,0
300,1
301,1
302,1
303,0
304,1
305,1
306,1
307,1
309,1
310,1
311,1
313,1
316,0
318,1
320,0
321,0
322,1
323,1
325,1
326,1
328,0
329,0
330,0
331,1
332,1
333,1
334,0
335,0
336,1
337,1
338,0
339,1
340,0
341,1
342,0
343,0
344,0
345,1
346,1
347,0
348,1
349,1
350,1
351,0
352,0
353,1
354,0
355,0
356,1
357,0
358,0
359,0
360,1
361,1
362,0
363,0
364,1
365,0
366,0
367,0
368,0
369,1
370,1
371,1
372,1
373,1
374,0
375,0
376,1
377,0
378,1
379,0
380,1
381,0
382,1
383,1
384,1
385,0
386,1
387,1
388,1
389,1
390,1
391,0
392,0
393,0
394,1
395,0
396,0
397,1
398,0
399,1
400,1
401,0
402,1
403,1
404,1
405,0
406,0
407,0
408,0
410,1
411,1
412,1
413,1
414,1
415,1
416,0
417,1
418,1
420,0
421,1
422,1
423,0
424,1
425,0
426,0
427,0
428,0
429,1
430,1
431,1
432,0
433,0
434,0
435,0
436,0
438,1
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,1
449,0
450,0
451,0
452,0
453,1
454,1
455,1
456,1
457,1
458,0
459,0
460,1
461,0
462,1
463,1
464,0
465,0
466,0
467,0
468,1
469,0
470,1
471,1
472,0
473,1
474,1
475,0
476,0
477,0
478,1
479,0
480,0
481,0
482,1
483,1
484,1
485,0
486,0
487,0
488,1
489,1
490,1
491,0
492,0
493,0
494,1
495,1
496,1
497,0
498,0
499,1
500,1
501,1
502,0
503,1
504,0
505,1
506,0
507,1
508,1
509,0
510,1
511,0
512,0
513,1
514,0
515,1
516,0
517,1
518,1
519,0
520,1
521,0
522,0
523,0
524,0
525,1
526,0
527,0
528,1
529,1
530,1
531,0
532,0
533,1
534,0
535,1
536,1
537,0
538,0
539,0
540,1
541,1
542,0
543,1
544,0
545,1
546,0
547,0
548,1
549,0
550,1
551,0
552,0
553,1
554,1
555,0
556,0
557,1
558,1
559,1
560,1
561,0
562,1
563,0
564,0
565,0
566,1
567,0
568,0
569,0
570,1
571,1
572,1
573,0
574,0
575,0
576,0
577,0
578,1
579,0
580,1
581,1
582,1
583,0
584,1
585,0
586,0
587,0
588,1
589,0
590,1
591,0
592,0
593,1
594,0
595,1
596,0
597,0
598,1
599,1
600,0
601,0
603,0
604,0
605,0
606,0
607,1
608,0
609,0
610,1
611,1
612,1
613,0
614,1
615,1
616,1
617,0
618,1
619,0
620,1
621,1
622,1
623,1
624,1
625,0
626,1
627,0
628,0
629,1
630,1
631,0
632,1
633,0
634,0
635,0
636,0
637,1
638,1
639,1
640,0
641,0
642,0
643,1
644,1
645,1
646,0
647,0
648,0
649,1
650,0
651,0
652,1
653,0
654,0
655,0
656,1
657,1
658,0
659,1
660,0
661,1
662,1
663,1
664,1
665,1
666,1
667,1
668,1
669,1
670,0
671,1
672,0
673,0
674,1
675,1
676,0
677,0
678,1
679,0
680,1
681,0
682,1
683,0
684,1
685,0
686,1
687,0
688,0
689,0
690,0
691,1
692,1
693,1
694,1
695,1
696,1
